"TITLE","FIRSTNAME","LASTNAME","POSITION","COMPANY","CITY","STATE","ZIP","PHONE","EMAIL"
"Mr","Justin","Noorda","Manager - Applications & Architecture","Whole Foods Market","Port Melbourne","VIC",3207,"(03) 7173 9256","jnoorda@hawkerdehavilland.com.au"
"Mr","Cristobal","Bridenstine","Senior Manager - Group Finance Systems","Vornado Realty","Melbourne","VIC",3000,"(01) 7709 8617","cbridenstine@insuranceaustraliagroup.com.au"
"Mr","Justin","Paskell","Senior Systems Accountant","Vornado Realty","Melbourne","VIC",3000,"(05) 3026 8857","jpaskell@insuranceaustraliagroup.com.au"
"Mr","Eric","Soltero","Senior Systems Accountant","Vornado Realty","Melbourne","VIC",3000,"(04) 3883 1660","esoltero@insuranceaustraliagroup.com.au"
"Mr","Darrell","Maggini","Principal","StanCorp Financial","Melbourne","VIC",3000,"(01) 3661 5329","dmaggini@deloitte.com.au"
"Mr","Saul","Costilla","BI Analyst","Ross Stores","Melbourne","VIC",3006,"(03) 3493 3721","scostilla@colesmyerltd.com.au"
"Mr","Lucien","Bondy","Senior Business Consultant","Oracle","Melbourne","VIC",3004,"(07) 4014 8814","lbondy@qspasiapacificptyltd.com.au"
"Mr","Nathanael","Cerchia","Senior Systems Analyst","Home Retail Group","Camberwell","VIC",3102,"(08) 1768 2092","ncerchia@australianhealthservicealliance.com.au"
"Mr","Edgardo","Alfredo","Commercial Analyst","Goldman Sachs Group","Clayton North","VIC",3168,"(03) 6346 1518","ealfredo@johnsands(australia)ltd.com.au"
"Ms","Ellie","Bacha","FINANCE MANAGER","Darden Restaurants","Melbourne","VIC",8010,"(05) 3599 9136","ebacha@melbournecitymissionincorporated.com.au"
"Mr","Randy","Bawek","Sales Executive","Morgan Stanley","Melbourne","VIC",3004,"(08) 7676 4089","rbawek@qsp-asiapacificptyltd.com.au"
"Mr","Earnest","Bonsal","Managing Director","Medco Health","Glen Iris","VIC",3146,"(02) 7979 1799","ebonsal@decisionresourcesptyltd.com.au"
"Mr","Fred","Channing","BI Consultant","FPL Group","Melbourne","VIC",3000,"(01) 7612 6861","fchanning@oaktonlimited.com.au"
"Mr","Alfonso","Coggins","EFT Services Support Manager","Stanley Black & Decker","Melbourne","VIC",300,"(02) 6470 2385","acoggins@nationalaustraliabank.com.au"
"Mr","Roman","Colburn","Sales","Consol Energy","Hawthorn East","VIC",3122,"(05) 7019 2489","rcolburn@itemgroupptyltd.com.au"
"Ms.","Minna","Covone","Senior  Accountant","Nasdaq OMX Group","Southbank","VIC",3006,"(07) 2348 5433","mcovone@heraldweeklytimes.com.au"
"Mr","Zane","Dauer","Supply Data Analyst","Avis Budget Group","Melbourne","VIC",3000,"(01) 4959 4187","zdauer@bhpbillitonpetroleum.com.au"
"Mr","Zachary","Delong","RA","Continental Airlines","Hughesdale","VIC",3166,"(04) 3773 7168","zdelong@swinburneuniversityoftechnology.com.au"
"Mr","Maxwell","Faske","Snr Business Analyst","RSA Insurance Group","Melbourne","VIC",3000,"(07) 9009 7575","mfaske@ioofholdingsltd.com.au"
"Mrs","Shenita","Faville","Project Manager","Bucyrus International","Melbourne","VIC",3000,"(08) 5623 1174","sfaville@ioofaustralia.com.au"
"Mr","Tony","Gerrard","IT Manager","Caterpillar","Hallam","VIC",3803,"(07) 4919 7740","tgerrard@energypowersystemsptyltd.com.au"
"Mr","Tyree","Granquist","Principal","Aviva","Elsternwick","VIC",3185,"(02) 6418 5720","tgranquist@anthonycooperco.com.au"
"Mr","Marlin","Gruters","Business Systems Analyst","Telstra","Melbourne","VIC",3000,"(02) 6536 3333","mgruters@sensisptyltd.com.au"
"Mr","Glen","Hanus","Senior Manager","Stanley Black & Decker","Melbourne","VIC",3000,"(07) 8569 8692","ghanus@nationalaustraliabank.com.au"
"Mr","Ronnie","Harmen","Senior Manager","Zions Bancorp","Melbourne","VIC",3000,"(01) 4485 5712","rharmen@capiotech.com.au"
"Ms","Krishna","Larch","Account Manager","Lowe's Cos","Melbourne","VIC",3004,"(02) 2952 6950","klarch@cognosptyltd.com.au"
"Mr","Anderson","Lefurgy","Business Systems Consultant","Kraft Foods","Melbourne","VIC",3000,"(06) 3801 1909","alefurgy@superpartnersptyltd.com.au"
"Mr","Elmer","Leisenring","Snr Analyst Programmer","Boeing","Scoresby","VIC",3179,"(08) 7554 4572","eleisenring@oceaustraliaptyltd.com.au"
"Mr","Abraham","Lotze","Report analyst","Kroger","Box Hill","VIC",3128,"(06) 5662 3581","alotze@skilledgroup.com.au"
"Ms","Ka","Maestri","Finance Officer","T Rowe Price","Prahran","VIC",3181,"(04) 4767 8093","kmaestri@alfredhealthcaregroup.com.au"
"Mr","Marcel","Mccort","Analyst Programmer","ASX","Port Melbourne","VIC",3207,"(04) 3009 3013","mmccort@idsenterpriseservices.com.au"
"Mr","Kareem","Mckentie","Capex Manager","Las Vegas Sands","Sunshine North","VIC",3020,"(02) 4229 8321","kmckentie@telstracorporationlimited.com.au"
"Mr","Leif","Mcnight","Senior CPM Consultant","Morgan Stanley","Melbourne","VIC",3004,"(06) 6137 4857","lmcnight@qsp-asiapacificptyltd.com.au"
